song_id,language,language_family,script,share_estimate,role,verse_locations,confidence,source,notes
cs_s02_e01_t01,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t01,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t02,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t03,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t03,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t04,Braj,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t04,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e01_t05,Persian,Iranian,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t01,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t02,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t03,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t04,Arabic,Semitic,Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t04,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t04,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e02_t05,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t01,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t02,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t03,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t04,English,Germanic,Latin,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t04,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e03_t05,Siraiki,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e04_t01,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e04_t02,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e04_t03,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e04_t04,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e04_t05,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e05_t01,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e05_t02,Punjabi,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
cs_s02_e05_t03,Urdu,Indo-Aryan,Perso-Arabic,,,,high,Zahra Sabri compilation (Coke_Studio_Pakistan_Seasons_2_10_and_12.pdf),
