song_id,title,title_native,season,episode,track_in_episode,release_date,duration_seconds,artists,lyricists,composers,producer,youtube_url,is_instrumental,is_cover,original_artist,notes
cs_s01_e01_t01,Deewana,,1,1,1,2008-06-08,,Ali Azmat,,,Rohail Hyatt,,,,,Urdu
cs_s01_e01_t02,Garaj Baras,,1,1,2,2008-06-08,,Ali Azmat|Rahat Fateh Ali Khan,,,Rohail Hyatt,,,,,Urdu
cs_s01_e01_t03,Gallan,,1,1,3,2008-06-08,,Ali Azmat,,,Rohail Hyatt,,,,,Punjabi
cs_s01_e01_t04,Shaman Paiyan,,1,1,4,2008-06-08,,Rahat Fateh Ali Khan,,,Rohail Hyatt,,,,,Punjabi
cs_s01_e01_t05,Balama,,1,1,5,2008-06-08,,Ali Azmat|Rahat Fateh Ali Khan,,,Rohail Hyatt,,,,,Punjabi & Urdu
cs_s01_e01_t06,Paheliyan,,1,1,6,2008-06-08,,Mauj,,,Rohail Hyatt,,,,,
cs_s01_e02_t01,I'm in Love (I'm a Believer),,1,2,1,2008-06-29,,Saba & Selina,,,Rohail Hyatt,,,,,English
cs_s01_e02_t02,Sar Kiye,,1,2,2,2008-06-29,,Strings,,,Rohail Hyatt,,,,,Urdu
cs_s01_e02_t03,Anjane,,1,2,3,2008-06-29,,Strings,,,Rohail Hyatt,,,,,Urdu
cs_s01_e02_t04,Duur,,1,2,4,2008-06-29,,Strings|Hussain Bakhsh Gullo|House Band,,,Rohail Hyatt,,,,,Urdu
cs_s01_e02_t05,Zinda,,1,2,5,2008-06-29,,Strings,,,Rohail Hyatt,,,,,Urdu
cs_s01_e02_t06,Jam Session,,1,2,6,2008-06-29,,Hussain Bakhsh Gullo|House Band,,,Rohail Hyatt,,,,,
cs_s01_e03_t01,Janay Na Koi,,1,3,1,2008-07-20,,Ali Zafar,,,Rohail Hyatt,,,,,
cs_s01_e03_t02,Chal Dil Meray,,1,3,2,2008-07-20,,Ali Zafar,,,Rohail Hyatt,,,,,Urdu
cs_s01_e03_t03,Channo,,1,3,3,2008-07-20,,Ali Zafar,,,Rohail Hyatt,,,,,Urdu
cs_s01_e03_t04,Rangeen,,1,3,4,2008-07-20,,Ali Zafar,,,Rohail Hyatt,,,,,Urdu
cs_s01_e03_t05,My Happiness,,1,3,5,2008-07-20,,Sajid & Zeeshan,,,Rohail Hyatt,,,,,English
cs_s01_e03_t06,Allah Hu,,1,3,6,2008-07-20,,Ali Zafar|Tufail Ahmed,,,Rohail Hyatt,,,,,Urdu
cs_s01_e04_t01,Percussion Jam,,1,4,1,2008-08-04,,House Band,,,Rohail Hyatt,,,,,
cs_s01_e04_t02,Dildara,,1,4,2,2008-08-04,,Rahat Fateh Ali Khan,,,Rohail Hyatt,,,,,Punjabi
cs_s01_e04_t03,Flute Jam,,1,4,3,2008-08-04,,Various Artists,,,Rohail Hyatt,,,true,,Instrumental jam
cs_s01_e04_t04,Mein Challa,,1,4,4,2008-08-04,,Ali Azmat,,,Rohail Hyatt,,,,,Punjabi
cs_s01_e04_t05,Garaj Baras,,1,4,5,2008-08-04,,Ali Azmat|Rahat Fateh Ali Khan,,,Rohail Hyatt,,,,,Urdu; rebroadcast
cs_s01_e04_t06,Dhaani,,1,4,6,2008-08-04,,Strings|Hussain Bakhsh Gullo,,,Rohail Hyatt,,,,,Urdu
cs_s01_e04_t07,Sar Kiye,,1,4,7,2008-08-04,,Strings,,,Rohail Hyatt,,,,,Urdu; rebroadcast
cs_s01_e04_t08,Allah Hu,,1,4,8,2008-08-04,,Ali Zafar|Tufail Ahmed,,,Rohail Hyatt,,,,,Urdu; rebroadcast
cs_s02_e01_t01,Aik Alif,,2,1,1,2009-06-14,,Saieen Zahoor|Noori,,,Rohail Hyatt,,,,,Individuality
cs_s02_e01_t02,Aj Latha Naeeo,,2,1,2,2009-06-14,,Javed Bashir,,,Rohail Hyatt,,,,,Individuality
cs_s02_e01_t03,Jal Pari,,2,1,3,2009-06-14,,Atif Aslam,,,Rohail Hyatt,,,,,Individuality
cs_s02_e01_t04,Khamaaj,,2,1,4,2009-06-14,,Shafqat Amanat Ali Khan,,,Rohail Hyatt,,,,,Individuality
cs_s02_e01_t05,Paimona,,2,1,5,2009-06-14,,Zeb & Haniya,,,Rohail Hyatt,,,,,Individuality
cs_s02_e02_t01,Aankhon Kay Sagar,,2,2,1,2009-06-28,,Shafqat Amanat Ali Khan,,,Rohail Hyatt,,,,,Harmony
cs_s02_e02_t02,Dastaan,,2,2,2,2009-06-28,,Ali Zafar,,,Rohail Hyatt,,,,,Harmony
cs_s02_e02_t03,Janay Do,,2,2,3,2009-06-28,,Josh,,,Rohail Hyatt,,,,,Harmony
cs_s02_e02_t04,Kinara,,2,2,4,2009-06-28,,Atif Aslam|Riaz Ali Khan,,,Rohail Hyatt,,,,,Harmony
cs_s02_e02_t05,Toomba,,2,2,5,2009-06-28,,Saieen Zahoor,,,Rohail Hyatt,,,,,Harmony
