name,lon,lat,source
Seoul,126.978,37.566,gazetteer
Pusan,129.075,35.18,gazetteer
Pyongyang,125.754,39.039,gazetteer
Inchon,126.705,37.456,gazetteer
Taegu,128.601,35.871,gazetteer
Taejon,127.385,36.351,gazetteer
Wonsan,127.44,39.15,gazetteer
Hungnam,127.62,39.83,gazetteer
Chosin,127.25,40.5,gazetteer
Kaesong,126.554,37.971,gazetteer
Panmunjom,126.677,37.956,gazetteer
Chorwon,127.31,38.25,gazetteer
Osan,127.07,37.15,gazetteer
Wonju,127.92,37.34,gazetteer
Sinuiju,124.4,40.1,gazetteer
Hyesan,128.177,41.4,gazetteer
Chongjin,129.776,41.796,gazetteer
Chosan,125.79,40.83,gazetteer
Unsan,125.79,40.02,gazetteer
Kapyong,127.51,37.83,gazetteer
Chunchon,127.73,37.88,gazetteer
Pohang,129.365,36.019,gazetteer
Masan,128.57,35.2,gazetteer
