beat,seq,lon,lat
parallel,0,124.2052,38.0004
parallel,1,126.6041,38.0004
parallel,2,127.5034,38.0004
parallel,3,128.4026,38.0004
parallel,4,129.4024,38.0004
july50,0,125.804,36.8504
july50,1,126.9029,36.9504
july50,2,127.4028,37.1502
july50,3,127.9027,37.2996
july50,4,128.4026,37.2498
july50,5,129.0016,36.9504
july50,6,129.8018,36.8504
pusan,0,128.302,34.2977
pusan,1,128.302,34.9482
pusan,2,128.4529,35.1992
pusan,3,128.4026,35.4482
pusan,4,128.3523,35.6989
pusan,5,128.302,35.9489
pusan,6,128.4529,36.0994
pusan,7,128.7029,36.1992
pusan,8,129.0016,36.2989
pusan,9,129.3018,36.2497
pusan,10,129.9024,36.0994
oct50,0,124.2052,38.0004
oct50,1,126.6041,38.0508
oct50,2,127.5034,38.0508
oct50,3,128.4026,38.1013
oct50,4,129.4024,38.1013
nov50,0,124.0055,39.702
nov50,1,125.3041,39.7524
nov50,2,125.7034,39.9516
nov50,3,126.1042,40.3528
nov50,4,126.6041,40.3528
nov50,5,127.0035,40.3528
nov50,6,127.3037,40.6522
nov50,7,127.9027,41.3031
nov50,8,128.302,41.4531
nov50,9,128.9025,41.6027
nov50,10,129.5015,41.7532
nov50,11,130.4023,41.9033
dec50,0,124.2052,37.951
dec50,1,126.7032,38.0004
dec50,2,127.5034,38.0508
dec50,3,128.4026,38.1505
dec50,4,129.4024,38.2009
jan51,0,125.804,36.9004
jan51,1,126.9029,36.9504
jan51,2,127.4028,37.0504
jan51,3,127.953,37.2996
jan51,4,128.5032,37.3506
jan51,5,129.2028,37.45
jan51,6,129.9024,37.5008
apr51,0,125.804,37.8005
apr51,1,126.7032,37.8511
apr51,2,127.0035,38.0508
apr51,3,127.3037,38.2009
apr51,4,127.6024,38.2009
apr51,5,127.9027,38.1505
apr51,6,128.302,38.1013
apr51,7,128.7029,38.1013
apr51,8,129.6021,38.1013
may51,0,125.804,37.6
may51,1,126.8038,37.6508
may51,2,127.1528,37.751
may51,3,127.5034,37.8005
may51,4,127.8036,37.7003
may51,5,128.1024,37.5505
may51,6,128.4529,37.7003
may51,7,128.9025,37.8511
may51,8,129.6021,37.9005
jun51,0,125.804,37.751
jun51,1,126.7032,37.8005
jun51,2,127.0035,38.0508
jun51,3,127.2534,38.3004
jun51,4,127.5537,38.3004
jun51,5,127.8524,38.2512
jun51,6,128.1527,38.3004
jun51,7,128.4026,38.3004
jun51,8,128.7029,38.2512
jun51,9,129.6021,38.2512
stalemate,0,125.804,37.751
stalemate,1,126.7032,37.8005
stalemate,2,127.0035,38.1013
stalemate,3,127.2534,38.3004
stalemate,4,127.5537,38.3004
stalemate,5,127.8524,38.3004
stalemate,6,128.1024,38.3506
stalemate,7,128.3523,38.4009
stalemate,8,128.6023,38.5514
stalemate,9,129.6021,38.6015
armistice,0,125.804,37.751
armistice,1,126.7032,37.8005
armistice,2,127.0035,38.1013
armistice,3,127.2534,38.3004
armistice,4,127.5537,38.3004
armistice,5,127.8524,38.3004
armistice,6,128.0521,38.3506
armistice,7,128.3523,38.4511
armistice,8,128.6023,38.6015
armistice,9,129.6021,38.6516
